Strategy,SR_gross,SR_net,TR_gross,TR_net,MDD_net,avg_position,avg_daily_turnover
REG_ds5_fsN_huber_vanilla,0.8207623473971732,0.5464564619791391,0.09545346118170306,0.058738142914643854,-0.13446117678676828,1.011571641579379,0.18443647617851228
LSTM_ds3_fsN_huber_vanilla,0.6341012429831004,0.5344673915118203,0.06755980390857053,0.05500497589713116,-0.14926825048875014,1.0062233607559907,0.06374328761669042
REG_ds3_fsN_huber_vanilla,0.6588394560431513,0.5248785413515257,0.07185074630025312,0.05459457938288126,-0.14470316492032986,1.0028392647897926,0.08790698052558094
LSTM_ds2_fsY_huber_kelly,1.4365169780383213,0.5248309550718089,0.2445374536136562,0.07014873551530565,-0.11965083302710167,1.1040364518230275,0.7970627412233262
REG_ds4_fsN_huber_vanilla,0.6940325186954139,0.5195390670730705,0.08268685980875423,0.05801495659479605,-0.1537726616450541,1.04559009532899,0.12062782679885835
XGB_ds5_fsY_mse_kelly,1.5939437616199033,0.49842250653549175,0.25513922071132966,0.061913439875126874,-0.09493218263116321,0.9982897829457528,0.8898677894842856
REG_ds3_fsY_mse_vanilla,0.6149288181492627,0.4896657412176566,0.06561340185961928,0.04975687591781863,-0.15053889885214367,0.9964417007539162,0.08130795170294071
XGB_ds3_fsN_mse_kelly,1.5636042036686315,0.48536590686455566,0.2556496843351639,0.06066993958259226,-0.1787393373926327,1.0596795080372503,0.8976128653296219
REG_ds3_fsN_mse_vanilla,0.6356418311389371,0.483916700218493,0.06916844082117901,0.049601663729281764,-0.142632995056861,0.9971190482902945,0.10030567398678261
XGB_ds2_fsY_huber_vanilla,0.6598050024023794,0.48093546768069956,0.06996025422073315,0.047770292430656,-0.14666325237909794,1.000644654920282,0.11347451184407219
XGB_ds4_fsY_huber_kelly,1.5360942353637959,0.4697672836682758,0.26314424415969384,0.05991670054258358,-0.11906322761550625,1.0041136790238607,0.9365041872152082
LSTM_ds3_fsY_mse_kelly,1.4014289209895419,0.43460650628838543,0.249969991930183,0.05629776604665371,-0.16916977726543014,0.9927983933756397,0.8969891742957199
LSTM_ds5_fsY_huber_kelly,1.484979217194407,0.36234208704866705,0.25980408755427753,0.04212385424621501,-0.19031009705124924,1.2047565304199066,1.0082770820854843
REG_ds1_fsN_mse_kelly,0.6693252233384086,0.29119064222102853,0.10919050006321052,0.030542646580260735,-0.1868003120947892,1.0232047896304017,0.3691515082863231
LSTM_ds2_fsN_mse_kelly,1.3329119455633263,0.20961861750696592,0.19705408771583643,0.015822329144522307,-0.13352605103125403,1.0441625713936011,0.8719042276512025
REG_ds5_fsN_mse_vanilla,0.5127387030590655,0.19328739870931977,0.05244186417208807,0.01318515795408759,-0.13540446659933503,1.0007292993172414,0.20609966219350495
XGB_ds5_fsN_mse_kelly,1.2289410261486784,0.15965069862562142,0.19412078714061942,0.007853222644069291,-0.13472399406052749,1.0648685177706443,0.9028992410246328
REG_ds4_fsY_mse_kelly,1.1022772533092422,0.158202985112643,0.18660066738247294,0.006496072803513053,-0.14278493993159547,0.9753001114257409,0.8783659163710174
XGB_ds3_fsY_huber_kelly,1.1762800937639404,0.13865343767683064,0.19773709763238978,0.0033506027836882613,-0.10445330744909342,1.0144375366760623,0.945071890474723
REG_ds1_fsN_huber_kelly,0.48590006181532136,0.133199931534065,0.07115851649204985,-0.00121445704247225,-0.2099345169502136,1.1028499952035147,0.3447717530831801
XGB_ds4_fsN_mse_kelly,1.247752935506102,0.12845331852525274,0.20623992884864872,0.0022450499023893844,-0.15093516284263964,0.9580714316526281,0.9936763929903282
XGB_ds3_fsN_huber_kelly,1.0587944028894756,0.03391540297347662,0.17877887896726818,-0.015454256275880929,-0.15875453095057968,1.0157798560192064,0.9599783420848524
XGB_ds4_fsN_huber_kelly,0.9790239729084942,0.03125690319149091,0.16971650505789815,-0.017724983199860156,-0.20044916791439293,0.8741472552364529,0.9378182657767808
XGB_ds2_fsN_huber_kelly,1.186088791084443,-0.014133158513344882,0.17952222007376717,-0.018447607358078377,-0.14629365935781147,1.0872948792729458,0.9788551919752675
REG_ds2_fsN_huber_kelly,1.0536216713007247,-0.13281852120483376,0.15364236254046704,-0.035516293466598126,-0.17887994571043853,0.9637620640746651,0.9589858665631874
REG_ds2_fsY_huber_kelly,1.0186759442483835,-0.17102580823077398,0.1522046963481778,-0.04270571216680019,-0.1718965998499975,0.9775178389551112,0.9923539058831063
REG_ds5_fsY_huber_kelly,1.1423966009419007,-0.19718957461584158,0.14731977094472226,-0.03671877134041135,-0.18349300421176007,0.9802574000416816,0.9346110517265607
REG_ds2_fsY_mse_kelly,1.0395428886921432,-0.19752917970397402,0.1537150605979487,-0.045686502852501976,-0.17873739358863416,1.013181941147592,1.0159440472222778
